Arabic_Name,Connection_ID,Active,AGG,X,Y,Lat,Long,Department
مركز التدريب المهني,411-D0-M7-4,Active,4,425330.2602,581735.0381,32.3620998,36.20623016,المفرق
مركز التدريب المهني حكما,1120-D0-M2-11,Active,11,395100.3104,607533.6248,32.59230862,35.88216042,اربد الخارجية
مركز التدريب المهني / ذكور,101-D0-M8-1,Active,1,308643.8667,271024.9178,29.54688277,35.02521254,العقبة
مديريه التدريب المهني,0636-M9-D0-06,Active,6,376766.8845,449643.2393,31.16660132,35.7069318,الكرك
مركز التدريب المهني اناث (الربه)الأميره تغريد,0714-M9-D0-07,Active,7,380119.7812,462218.6662,31.28036558,35.74059526,الكرك
مركز التدريب المهني/المدينه الصناعيه,0871-M9-D0-08,Active,8,388170.1871,454264.1909,31.2094244,35.82602264,الكرك
مؤسسه التدريب المهني/مؤاب,0309-M9-D0-03,Active,3,380016.8408,434616.6357,31.03141399,35.74280534,الكرك
مركز التدريب المهني /غور الصافي,1014-M9-D0-10,Active,10,357535.8266,438908.1675,31.06760728,35.50675726,الغور
معهد التدريب المهني اناث,0539-M10-D0-05,Active,5,365185.4037,411650.4722,30.82268228,35.59051384,الطفيلة
معهد التدريب المهني ذكور,0540-M10-D0-05,Active,5,365277.1728,411616.0057,30.82238186,35.59147739,الطفيلة
التدريب المهني اناث,0606-M11-D0-06,Active,6,353656.6854,356024.1534,30.31963689,35.47789548,معان
مركز التدريب المهني ذكور,0230-M11-D0-02,Active,2,375756.3123,341189.3135,30.18829767,35.7094077,معان
مركز التدريب المهني اناث,0227-M11-D0-02,Active,2,375712.8549,341346.3371,30.18970961,35.70893799,معان
