X,Y,AREA,PERIMETER,RSS_UTM_CO,RSS_UTM__1,GOV_NE,GOV_NA
988147.556196789,3612719.8750202,26700000000,874222.56,2,8,MAFRAQ,Ä†??•?
764701.462365388,3598986.12500285,1580000000,275972,3,1,IRBID,Ä•??
753795.956875957,3578467.87500171,416822912,114116.47,4,11,AJLUN,??†ëÑ
770871.168073512,3573047.74999915,411893376,127947.82,5,9,JERASH,?•?
750915.480589237,3541005.87498903,1120000000,218058.18,6,3,BALQA,Ä†?†?Ä?
867544.578330751,3531012.24996767,4770000000,465341.46,7,4,ZARQA,Ä†?•?Ä?
815690.120261223,3508012.12497717,7610000000,497895.71,8,12,AMMAN,??ÄÑ
756913.263147657,3500482.87500618,942416896,152511.01,9,13,MADABA,?Ä??Ä
772862.131102159,3445870.12501485,3500000000,338939.59,11,7,KARAK,Ä†·•·
838848.935378605,3349176.75001822,32900000000,819406.31,12,14,MAAN,??ÄÑ
761785.37897529,3410438.62501937,2210000000,217913.93,14,5,TAFILAH,Ä†??°†ê
713866.823744075,3321179.00001584,6900000000,476589.59,15,6,AQABA,Ä†???ê
